# t(yr) dt(yr)
1.1725682828194915e-02 5.1016295883818397e-06
1.1731044417174801e-02 5.3615889798862976e-06
1.1757852362074229e-02 2.6807944899428018e-05
1.1891892086571373e-02 1.3403972449714356e-04
1.1900032645424869e-02 8.1405588534966961e-06
1.1906352989824773e-02 6.3203443999033243e-06
1.1912673334224676e-02 6.3203443999033243e-06
1.1944275056224189e-02 3.1601721999513152e-05
1.2102283666221755e-02 1.5800860999756576e-04
1.2347813151205424e-02 2.4552948498366908e-04
1.2593342636189093e-02 2.4552948498366908e-04
1.2768505489541612e-02 1.7516285335251840e-04
1.2799659891488891e-02 3.1154401947279531e-05
1.2830814293436171e-02 3.1154401947279531e-05
1.2856930941468997e-02 2.6116648032826692e-05
1.2987514181633127e-02 1.3058324016412999e-04
1.3019784292334280e-02 3.2270110701152280e-05
1.3052054403035432e-02 3.2270110701152280e-05
1.3078825155332256e-02 2.6770752296824407e-05
1.3212678916816377e-02 1.3385376148412030e-04
1.3266326067803216e-02 5.3647150986839767e-05
1.3319973218790056e-02 5.3647150986839767e-05
1.3422904146376391e-02 1.0293092758633521e-04
1.3456722834240833e-02 3.3818687864442185e-05
1.3490541522105276e-02 3.3818687864442185e-05
1.3511831399791860e-02 2.1289877686583858e-05
1.3528023037772716e-02 1.6191637980856113e-05
1.3544214675753572e-02 1.6191637980856113e-05
1.3625172865657849e-02 8.0958189904277097e-05
1.3792607083025465e-02 1.6743421736761625e-04
1.3843381923913349e-02 5.0774840887883588e-05
1.3894156764801232e-02 5.0774840887883588e-05
1.3928653837120880e-02 3.4497072319648187e-05
1.3963150909440529e-02 3.4497072319648187e-05
1.3991008513744808e-02 2.7857604304279415e-05
1.4130296535266207e-02 1.3928802152139881e-04
1.4826736642873201e-02 6.9644010760699405e-04
1.5030731452343956e-02 2.0399480947075506e-04
1.5154438624770828e-02 1.2370717242687207e-04
1.5278145797197700e-02 1.2370717242687207e-04
1.5412756876407656e-02 1.3461107920995606e-04
1.5495639768258731e-02 8.2882891851075030e-05
1.5578522660109806e-02 8.2882891851075030e-05
1.5593922144270687e-02 1.5399484160880800e-05
1.5609321628431568e-02 1.5399484160880800e-05
1.5622718472510243e-02 1.3396844078675599e-05
1.5689702692903623e-02 6.6984220393379729e-05
1.5768074182789305e-02 7.8371489885681322e-05
1.6159931632217704e-02 3.9185744942839967e-04
1.6212924748269106e-02 5.2993116051402306e-05
1.6221588448784626e-02 8.6637005155196234e-06
1.6230252149300146e-02 8.6637005155196234e-06
1.6238385511283881e-02 8.1333619837350990e-06
1.6279052321202563e-02 4.0666809918682434e-05
1.6482386370795972e-02 2.0333404959340870e-04
1.6589222082568272e-02 1.0683571177230039e-04
1.6647172305972163e-02 5.7950223403890194e-05
1.6668421653976816e-02 2.1249348004653834e-05
1.6689671001981470e-02 2.1249348004653834e-05
1.6795917742004732e-02 1.0624674002326223e-04
1.7327151442121044e-02 5.3123370011631116e-04
1.7654323981324264e-02 3.2717253920322084e-04
1.7684168256262088e-02 2.9844274937823601e-05
1.7698783700480180e-02 1.4615444218091939e-05
1.7703721897119870e-02 4.9381966396901122e-06
1.7708660093759560e-02 4.9381966396901122e-06
1.7733351076958004e-02 2.4690983198443622e-05
1.7856805992950229e-02 1.2345491599222505e-04
1.8474080572911361e-02 6.1727457996113219e-04
1.8605184218357423e-02 1.3110364544606165e-04
1.8625960742568986e-02 2.0776524211563174e-05
1.8635751134032732e-02 9.7903914637459399e-06
1.8645541525496478e-02 9.7903914637459399e-06
1.8654242944693259e-02 8.7014191967813015e-06
1.8697750040677166e-02 4.3507095983906507e-05
1.8915285520596698e-02 2.1753547991953254e-04
1.8938117775741434e-02 2.2832255144735608e-05
1.8950750717133102e-02 1.2632941391668012e-05
1.8963383658524770e-02 1.2632941391668012e-05
1.8976150416154889e-02 1.2766757630119224e-05
1.9039984204305492e-02 6.3833788150603060e-05
1.9359153145058504e-02 3.1916894075301183e-04
1.9612368863426689e-02 2.5321571836818546e-04
1.9726075651309346e-02 1.1370678788265656e-04
1.9785989919410930e-02 5.9914268101583790e-05
1.9845904187512513e-02 5.9914268101583790e-05
1.9904141774479231e-02 5.8237586966717464e-05
1.9995008881444867e-02 9.0867106965635686e-05
2.0085875988410502e-02 9.0867106965635686e-05
2.0141013461261945e-02 5.5137472851442271e-05
2.0157961630657140e-02 1.6948169395195056e-05
2.0164555454497839e-02 6.5938238406997030e-06
2.0168374392983107e-02 3.8189384852678476e-06
2.0172193331468375e-02 3.8189384852678476e-06
2.0176196296006584e-02 4.0029645382091972e-06
2.0196211118697623e-02 2.0014822691039047e-05
2.0296285232152819e-02 1.0007411345519523e-04
2.0796655799428798e-02 5.0037056727597964e-04
2.1177254092484728e-02 3.8059829305592957e-04
2.1277413883521362e-02 1.0015979103663447e-04
2.1294551348699675e-02 1.7137465178312938e-05
2.1311688813877988e-02 1.7137465178312938e-05
2.1397376139769560e-02 8.5687325891571631e-05
2.1579916777225313e-02 1.8254063745575325e-04
2.1671975562109085e-02 9.2058784883771588e-05
2.1698574639685130e-02 2.6599077576044960e-05
2.1712525763933118e-02 1.3951124247988528e-05
2.1726476888181107e-02 1.3951124247988528e-05
2.1738227629547652e-02 1.1750741366545886e-05
2.1796981336380382e-02 5.8753706832729430e-05
2.2090749870544026e-02 2.9376853416364368e-04
2.3559592541362244e-02 1.4688426708182184e-03
2.3670896889805254e-02 1.1130434844301013e-04
2.3708344837745296e-02 3.7447947940041915e-05
2.3745792785685338e-02 3.7447947940041915e-05
2.3759603369258159e-02 1.3810583572821528e-05
2.3773413952830981e-02 1.3810583572821528e-05
2.3784857373187838e-02 1.1443420356856832e-05
2.3842074474972122e-02 5.7217101784284158e-05
2.4128159983893550e-02 2.8608550892142773e-04
2.4507192466324892e-02 3.7903248243134277e-04
2.4886224948756235e-02 3.7903248243134277e-04
2.4979617612028687e-02 9.3392663272452020e-05
2.5043225583870593e-02 6.3607971841905808e-05
2.5106833555712499e-02 6.3607971841905808e-05
2.5162807232609989e-02 5.5973676897490277e-05
2.5442675617097441e-02 2.7986838448745138e-04
2.5461001937340407e-02 1.8326320242966626e-05
2.5479328257583374e-02 1.8326320242966626e-05
2.5495743502598298e-02 1.6415245014923807e-05
2.5577819727672924e-02 8.2076225074625975e-05
2.5988200853046053e-02 4.1038112537312987e-04
2.6274178157566972e-02 2.8597730452091866e-04
2.6281422401054636e-02 7.2442434876640593e-06
2.6283970216303697e-02 2.5478152490612804e-06
2.6285331426890480e-02 1.3612105867824575e-06
2.6286692637477262e-02 1.3612105867824575e-06
2.6288030220483750e-02 1.3375830064873973e-06
2.6294718135516194e-02 6.6879150324439252e-06
2.6328157710678406e-02 3.3439575162212687e-05
2.6495355586489470e-02 1.6719787581106343e-04
2.6660810208594475e-02 1.6545462210500531e-04
2.6736035199715576e-02 7.5224991121100593e-05
2.6742021605590201e-02 5.9864058746250670e-06
2.6748008011464826e-02 5.9864058746250670e-06
2.6754324168641021e-02 6.3161571761949364e-06
2.6785904954521992e-02 3.1580785880971213e-05
2.6943808883926845e-02 1.5790392940485259e-04
2.7733328530951101e-02 7.8951964702425603e-04
2.8148583816403550e-02 4.1525528545244966e-04
2.8563839101856000e-02 4.1525528545244966e-04
2.8920240424188774e-02 3.5640132233277430e-04
2.9349693070939722e-02 4.2945264675094824e-04
