# 2004 Mw6.0 Parkfield earthquake coseismic slip model from
#
#   Bruhat L. S. Barbot and J.-P. Avouac, "Evidence for 
#   postseismic deformation of the lower crust following the 
#   2004 Mw6.0 Parkfield earthquake", J.G.R, 116(B08401), 2011
#
# Conventions and units:
#
# slip - amplitude of slip (m)
# x1   - positive north (km)
# x2   - positive east (km)
# x3   - positive down (km)
# l    - patch length in the strike direction (km)
# w    - patch width in the dip direction (km)
# str  - strike angle (degree)
# d    - dip angle (degree)
# rak  - slip rake (degree)
#
# Geometry:
#
#                 N (x1)
#                /
#               /| Strike
#   x1,x2,x3 ->@------------------------      (x2)
#              |\        p .            \ W
#              :-\      i .              \ i
#              |  \    l .                \ d
#              :90 \  S .                  \ t
#              |-Dip\  .                    \ h
#              :     \. | Rake               \
#              |      -------------------------
#              :             L e n g t h
#              Z (x3)
#              
#  n      slip        x1        x2        x3    length     width   strike      dip     rake
0256     0.000   19700.0  -16200.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0257     0.000   21200.0  -17600.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0258     0.000   22600.0  -19000.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0259     0.000   24000.0  -20400.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0260     0.000   25500.0  -21700.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0261     0.000   -1860.0    4630.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0262     0.000    -420.0    3240.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0263     0.000    1020.0    1850.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0264     0.000    2450.0     465.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0265     0.074    3890.0    -924.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0266     0.204    5330.0   -2320.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0267     0.000    6770.0   -3710.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0268     0.000    8210.0   -5090.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0269     0.000    9650.0   -6480.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0270     0.000   11100.0   -7870.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0271     0.063   12500.0   -9260.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0272     0.000   14000.0  -10600.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0273     0.220   15400.0  -12000.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0274     0.167   16800.0  -13400.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0275     0.106   18300.0  -14800.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0276     0.000   19700.0  -16200.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0277     0.000   21200.0  -17600.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0278     0.000   22600.0  -19000.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0279     0.000   24000.0  -20400.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0280     0.000   25500.0  -21700.0    1000.0    2000.0    1000.0   -44.00    90.00   180.00
0281     0.000   -1860.0    4630.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0282     0.000    -420.0    3240.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0283     0.000    1020.0    1850.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0284     0.000    2450.0     465.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0285     0.000    3890.0    -924.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0286     0.346    5330.0   -2320.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0287     0.000    6770.0   -3710.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0288     0.000    8210.0   -5090.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0289     0.000    9650.0   -6480.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0290     0.256   11100.0   -7870.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0291     0.099   12500.0   -9260.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0292     0.000   14000.0  -10600.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0293     0.000   15400.0  -12000.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0294     0.247   16800.0  -13400.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0295     0.031   18300.0  -14800.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0296     0.011   19700.0  -16200.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0297     0.000   21200.0  -17600.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0298     0.000   22600.0  -19000.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0299     0.000   24000.0  -20400.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
0300     0.000   25500.0  -21700.0       0.0    2000.0    1000.0   -44.00    90.00   180.00
