# time (yr), max strain rate (1/yr)
0.0000000000000000e+00 0.00000000000000000000e+00
2.5999999263272000e-06 4.0983032437767513e-25
0.0000000000000000e+00 1.4584235121102887e-24
1.0000000000000001e-05 2.9329236092390233e-22
6.0000000000000002e-05 5.3521929172642094e-03
1.2504940480531325e-04 5.1296879907714804e-03
4.5029642883187955e-04 4.2314347679512079e-03
1.3216236084417294e-03 2.8406428973274380e-03
2.5088646572041544e-03 1.9417520215570790e-03
4.4795675706643199e-03 1.2713504476578757e-03
7.6272184120778777e-03 8.3469014446477122e-04
1.2665443776763104e-02 5.8460891737304333e-04
2.0294168334468378e-02 4.3403929110414431e-04
3.1533329995847278e-02 3.0582048409809071e-04
4.4026566183140901e-02 2.2476973905907112e-04
5.8610088318792455e-02 1.6969551321704987e-04
7.5023685320515593e-02 1.4366746771580727e-04
9.2544490390676165e-02 1.2214193674989253e-04
1.1130909692652755e-01 1.0436745852175190e-04
1.3164452729505119e-01 8.9558954332652303e-05
1.5405560242122893e-01 7.7067860686075293e-05
1.7895963615461860e-01 6.6507295370797067e-05
2.0562226395725780e-01 5.8062714923799361e-05
2.3419531541159155e-01 5.1263169959177314e-05
2.6678557577488998e-01 4.5251788594745647e-05
3.0557306482972346e-01 3.9775217883663014e-05
3.5238283224691458e-01 3.4800952034979021e-05
3.7876907353304828e-01 3.2552495142509577e-05
4.0515531481918199e-01 3.0604533796601580e-05
4.4134265926095584e-01 2.8320473004156913e-05
4.8465189490783539e-01 2.6043013189062165e-05
5.1138918002610712e-01 2.4831596610942612e-05
5.3812646514437878e-01 2.3740905857090242e-05
5.7331710245456724e-01 2.2459734473154126e-05
6.1523056677296240e-01 2.1122497308874947e-05
6.4291793333065217e-01 2.0332595845292778e-05
6.7060529988834194e-01 1.9612006321083954e-05
6.8720215000009688e-01 1.9222775822252765e-05
