> 6688    1 MEDITERRANEAN RIDGE, TRENCH SW OF GREECE  
> 6688    2 TRANSFORM FAULT SE OF GREECE                                          
> 92 1    1  NCATL RIDGE AXIS                                                     
  3579661.61   6276400.72
  3563008.62   6287937.27
  3546429.25   6301264.71
  3525759.49   6318567.58
  3511816.20   6329472.02
  3501981.80   6336384.69
  3491711.81   6343301.63
  3484602.98   6350531.90
  3463981.62   6331822.09
  3438690.51   6307526.30
  3424699.17   6293354.22
  3413464.02   6280863.30
  3399135.77   6294688.58
  3390526.77   6301758.18
  3383009.16   6308093.79
  3362149.19   6293177.60
  3343992.98   6279074.03
  3332231.66   6269147.54
  3314075.50   6255100.83
  3296311.29   6240186.93
  3283601.99   6229046.93
  3274195.26   6222189.24
  3256321.14   6205158.16
  3234908.70   6184141.19
  3208509.35   6160824.11
  3186406.98   6139770.83
  3164682.47   6121613.98
  3168134.01   6124272.30
  3160439.89   6116575.82
  3152623.35   6110870.82
  3138412.73   6123130.90
  3126345.59   6134394.70
  3113004.59   6146119.71
  3106124.28   6152443.19
  3095585.64   6147997.33
  3084818.40   6162404.76
  3078333.13   6171517.66
  3074841.56   6175429.94
  3061318.27   6167864.69
  3053392.03   6182293.01
  3042808.30   6200124.81
  3034840.24   6214077.07
  3023303.14   6230591.55
  3016097.24   6242729.52
  3010728.22   6252370.15
  2999422.65   6243815.31
  2988991.22   6235203.18
  2976555.70   6254976.39
  2965021.49   6271398.56
  2958100.60   6284979.01
  2948924.58   6296480.73
  2946320.38   6305273.39
  2937680.55   6301136.27
  2927882.55   6317845.18
  2916053.22   6337649.33
  2905664.72   6356280.15
  2893489.73   6378613.76
  2888377.01   6390070.44
  2883096.03   6397628.52
  2897890.79   6406724.79
  2887369.90   6417725.07
  2878427.38   6431023.94
  2867192.85   6446347.58
  2855822.12   6458194.10
  2848464.15   6467938.23
  2844191.76   6474341.62
  2849304.43   6479103.90
  2842948.23   6487287.64
  2838149.92   6496928.62
  2832022.47   6505747.60
  2842860.11   6509237.09
  2836906.99   6516953.52
  2833930.88   6524154.77
  2829028.66   6531189.36
  2838245.53   6537759.36
  2844000.88   6543579.59
  2849079.07   6547928.35
  2838298.02   6559458.38
  2830638.48   6568085.30
  2824868.91   6575562.71
  2816784.54   6584179.83
  2821062.35   6591127.41
  2827554.16   6601018.99
  2817194.14   6620839.35
  2811084.41   6632165.91
  2806997.18   6639139.78
  2804413.00   6646717.91
  2810492.83   6649979.94
  2803190.83   6666026.60
  2796669.38   6678614.11
  2794820.89   6690647.65
  2791122.14   6696737.50
  2800077.04   6705710.54
  2792794.48   6724290.98
  2788215.83   6740436.61
  2784836.87   6752261.16
  2781154.14   6760036.25
  2777475.85   6768663.99
  2786979.83   6776160.82
  2780022.04   6792541.86
  2774099.30   6807385.35
  2767949.24   6822445.06
  2764748.87   6836151.55
  2759573.89   6846264.90
  2768586.23   6852516.30
  2760327.31   6871840.89
  2753558.10   6891319.20
  2744842.29   6910609.58
  2736099.04   6927743.01
  2731339.07   6941214.96
  2726401.25   6959971.40
  2721445.18   6979153.12
  2717081.47   6992573.54
  2711016.93   7008129.97
  2706848.05   7021747.55
  2701606.77   7033866.25
  2698052.70   7043439.55
  2705024.51   7046575.84
  2696393.06   7059550.96
