time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-07T05:48:21.530Z,31.0885,129.3788,10,4.6,mb,,103,1.01,1.12,us,us10005fp8,2016-07-20T18:10:46.040Z,"91km WSW of Makurazaki, Japan",earthquake,7.1,1.9,0.082,44,reviewed,us,us
2016-05-07T05:42:13.500Z,31.2618,129.297,10,5.3,mww,,35,1.018,0.8,us,us10005fp7,2016-07-20T18:10:46.040Z,"97km W of Makurazaki, Japan",earthquake,6.2,1.8,,,reviewed,us,us
2016-05-06T05:11:22.810Z,31.0991,129.2972,14.25,4.9,mb,,93,1.07,0.71,us,us10005e7j,2016-07-20T18:10:44.040Z,"98km W of Makurazaki, Japan",earthquake,6.4,3.5,0.058,95,reviewed,us,us
2016-05-05T01:40:14.350Z,33.001,131.05,13.65,4.6,mwr,,89,0.191,0.78,us,us10005dy4,2016-07-19T20:03:13.040Z,"21km E of Kikuchi, Japan",earthquake,4.7,3.6,0.08,15,reviewed,us,us
2016-05-05T01:31:32.150Z,32.9914,130.9774,16.83,4.6,mb,,104,0.157,0.92,us,us10005dy2,2016-07-19T20:03:13.040Z,"15km E of Kikuchi, Japan",earthquake,5,4.1,0.09,37,reviewed,us,us
2016-05-03T22:52:06.090Z,32.66,130.6019,10,4.3,mb,,125,0.518,0.88,us,us10005gkh,2016-07-19T20:03:12.040Z,"6km WSW of Uto, Japan",earthquake,3.6,1.9,0.168,10,reviewed,us,us
2016-05-02T06:35:06.370Z,32.5602,130.5327,10,4.3,mb,,100,0.633,1.08,us,us10005ghv,2016-07-19T20:03:09.040Z,"9km NW of Yatsushiro, Japan",earthquake,5.2,1.9,0.129,17,reviewed,us,us
2016-04-29T06:09:35.880Z,33.2523,131.2868,2.35,4.2,mb,,100,0.366,0.99,us,us10005cdp,2016-07-19T20:03:05.040Z,"12km E of Tsukawaki, Japan",earthquake,4.3,1.9,0.147,13,reviewed,us,us
2016-04-28T21:50:41.990Z,32.762,130.6075,10,4.4,mb,,126,0.427,1.23,us,us10005eae,2016-07-08T02:49:27.040Z,"10km NNW of Uto, Japan",earthquake,2.8,1.9,0.144,14,reviewed,us,us
2016-04-28T06:30:52.390Z,32.7625,130.4733,10,4.9,mb,,85,0.495,0.73,us,us10005c3n,2016-07-08T02:49:26.040Z,"10km ESE of Shimabara, Japan",earthquake,5,1.8,0.05,123,reviewed,us,us
2016-04-26T16:59:47.380Z,30.2621,131.112,32.63,4.3,mb,,133,1.366,1.13,us,us10005bnt,2016-07-08T02:49:24.040Z,"53km SSE of Nishinoomote, Japan",earthquake,7.5,6.3,0.117,21,reviewed,us,us
2016-04-24T15:44:08.020Z,32.7396,130.5321,4.3,4.4,mb,,92,0.481,0.58,us,us20005lez,2016-07-08T02:49:20.040Z,"14km WNW of Uto, Japan",earthquake,1.9,4.9,0.108,25,reviewed,us,us
2016-04-24T07:52:01.540Z,32.9794,131.052,10,4.3,mb,,91,0.206,0.7,us,us20005ldb,2016-07-08T02:49:20.040Z,"21km NE of Ozu, Japan",earthquake,4.7,1.9,0.148,17,reviewed,us,us
2016-04-21T14:20:36.040Z,33.4717,134.4206,10,4.3,mb,,87,0.523,0.68,us,us20005kh5,2016-06-27T23:02:33.040Z,"32km NE of Muroto, Japan",earthquake,5.3,1.9,0.148,13,reviewed,us,us
2016-04-20T20:16:52.830Z,33.2495,131.4328,8.02,4.5,mb,,130,0.482,0.56,us,us20005k9h,2016-06-27T23:02:29.040Z,"6km WSW of Beppu, Japan",earthquake,4.8,6.3,0.156,12,reviewed,us,us
2016-04-20T16:39:57.530Z,30.6982,132.558,33.31,4.5,mb,,140,1.978,1.37,us,us10005ds8,2016-06-27T23:02:28.040Z,"149km E of Nishinoomote, Japan",earthquake,5.6,6.3,0.164,11,reviewed,us,us
2016-04-20T07:01:29.480Z,32.8081,130.6893,8.61,4.4,mb,,100,0.353,0.63,us,us20005k2s,2016-06-27T23:02:24.040Z,"5km WNW of Kumamoto-shi, Japan",earthquake,5,4.4,0.112,23,reviewed,us,us
2016-04-20T05:27:45.400Z,33.2429,131.4164,14.16,4.4,mb,,101,0.467,0.84,us,us20005k22,2016-06-27T23:02:24.040Z,"7km WSW of Beppu, Japan",earthquake,4.8,1.9,0.154,17,reviewed,us,us
2016-04-19T18:38:57.540Z,32.485,130.6729,6.76,4.1,mwr,,100,0.66,0.72,us,us20005jvs,2016-06-27T23:02:19.040Z,"7km ESE of Yatsushiro, Japan",earthquake,4,4.8,0.086,13,reviewed,us,us
2016-04-19T11:47:04.690Z,32.6339,130.5398,10,4.8,mwr,,54,0.565,0.74,us,us20005jsc,2016-06-27T23:02:17.040Z,"12km W of Matsubase, Japan",earthquake,5.2,1.9,0.08,15,reviewed,us,us
2016-04-19T08:52:14.800Z,32.5574,130.6136,5.4,5.3,mww,,32,0.607,0.89,us,us20005jr8,2016-06-27T23:02:16.040Z,"6km NNE of Yatsushiro, Japan",earthquake,4.9,3.9,,,reviewed,us,us
2016-04-19T03:52:13.670Z,32.762,130.6892,7.03,4.5,mb,,101,0.394,0.38,us,us10005dpq,2016-06-27T23:02:13.040Z,"5km WSW of Kumamoto-shi, Japan",earthquake,3,6.2,0.271,4,reviewed,us,us
2016-04-18T21:20:02.470Z,33.0045,131.0887,10,4.3,mb,,104,0.214,0.73,us,us20005jm2,2016-06-27T23:02:11.040Z,"25km NE of Ozu, Japan",earthquake,4.8,1.9,0.177,9,reviewed,us,us
2016-04-18T12:18:25.280Z,32.6833,130.5909,4.51,4.4,mb,,93,0.501,0.73,us,us10005byj,2016-06-27T23:02:07.040Z,"7km W of Uto, Japan",earthquake,4.8,5,0.143,14,reviewed,us,us
2016-04-18T11:42:00.220Z,33.0143,131.0991,10.46,5.5,mww,,52,0.217,0.91,us,us20005jgz,2016-06-27T23:02:07.040Z,"26km E of Kikuchi, Japan",earthquake,5.9,3.2,,,reviewed,us,us
2016-04-18T08:02:00.980Z,32.93,131.3657,27.67,4.1,mb,,108,0.454,1,us,us20005jep,2016-06-27T23:02:06.040Z,"5km SW of Takedamachi, Japan",earthquake,4,6.5,0.158,11,reviewed,us,us
2016-04-17T23:35:43.590Z,32.8492,130.7121,10,4.6,mb,,91,0.307,0.64,us,us20005jbh,2016-06-27T23:02:03.040Z,"6km SSE of Ueki, Japan",earthquake,3.9,1.8,0.062,78,reviewed,us,us
2016-04-17T10:23:41.130Z,32.6991,130.5764,3.47,4.7,mb,,95,0.494,0.77,us,us20005j6z,2016-06-27T23:01:58.040Z,"8km WNW of Uto, Japan",earthquake,5.2,3.8,0.062,79,reviewed,us,us
2016-04-17T04:14:00.500Z,32.9642,130.9656,10,4.3,mb,,125,0.176,0.55,us,us20005j4q,2016-06-27T23:01:55.040Z,"14km NE of Ozu, Japan",earthquake,5.1,1.9,0.138,15,reviewed,us,us
2016-04-16T19:46:49.290Z,32.6555,130.677,4.51,4.6,mb,,86,0.497,0.75,us,us20005j23,2016-06-27T23:01:52.040Z,"1km ENE of Matsubase, Japan",earthquake,4.4,4.3,0.065,71,reviewed,us,us
2016-04-16T18:30:22.760Z,33.0139,131.0501,15.88,4.2,mb,,90,0.182,0.64,us,us20005j1s,2016-06-27T23:01:51.040Z,"22km E of Kikuchi, Japan",earthquake,4.4,4.9,0.176,10,reviewed,us,us
2016-04-16T15:14:52.990Z,32.9386,130.9457,10,4.7,mb,,99,0.194,0.98,us,us20005j0z,2016-06-27T23:01:51.040Z,"10km NE of Ozu, Japan",earthquake,3.1,1.9,0.091,37,reviewed,us,us
2016-04-16T13:05:58.860Z,32.8815,130.7501,10,4.5,mb,,110,0.265,0.78,us,us20005j01,2016-06-27T23:01:50.040Z,"6km ESE of Ueki, Japan",earthquake,4.9,1.9,0.27,4,reviewed,us,us
2016-04-16T12:05:06.020Z,32.733,130.6863,9.9,4.5,mb,,95,0.422,0.88,us,us20005izm,2016-06-27T23:01:49.040Z,"5km NNE of Uto, Japan",earthquake,2.9,4.8,0.098,31,reviewed,us,us
2016-04-16T08:40:20.280Z,32.7657,130.5546,3.34,4.7,mb,,105,0.449,0.79,us,us20005iyx,2016-06-27T23:01:49.040Z,"13km NW of Uto, Japan",earthquake,4.3,5,0.106,27,reviewed,us,us
2016-04-16T07:02:01.850Z,32.7232,130.6626,9.12,5.1,mww,,32,0.439,0.61,us,us20005iye,2016-06-27T23:01:48.040Z,"4km N of Uto, Japan",earthquake,5.2,3.9,,,reviewed,us,us
2016-04-16T05:27:05.580Z,32.6704,130.6829,10,4.6,mb,,91,0.481,1.1,us,us20005ixz,2016-06-27T23:01:48.040Z,"2km SE of Uto, Japan",earthquake,3.2,1.9,0.094,34,reviewed,us,us
2016-04-16T05:03:57.930Z,32.9995,131.1284,9.24,4.6,mb,,59,0.245,0.67,us,us20005ixw,2016-06-27T23:01:48.040Z,"25km W of Takedamachi, Japan",earthquake,3.2,4.8,0.102,29,reviewed,us,us
2016-04-16T02:02:51.200Z,32.7316,130.6831,5.69,4.8,mb,,85,0.424,0.66,us,us20005iwz,2016-06-27T23:01:47.040Z,"5km NNE of Uto, Japan",earthquake,4.8,4.1,0.052,113,reviewed,us,us
2016-04-16T01:38:53.880Z,32.5367,130.4824,8.12,4.3,mb,,110,0.674,0.76,us,us20005iwy,2016-06-27T23:01:47.040Z,"11km WNW of Yatsushiro, Japan",earthquake,4.7,5.3,0.119,20,reviewed,us,us
2016-04-16T00:48:32.810Z,32.8404,130.7768,9.07,5.2,mww,,55,0.296,0.79,us,us20005iwc,2016-06-27T23:01:47.040Z,"6km NNE of Kumamoto-shi, Japan",earthquake,4.4,3.3,,,reviewed,us,us
