132  S106   -80201.34    -67373.30        0.00
133  S23R  -125160.44    -39554.30        0.00
134  SANI    70750.04    -22464.62        0.00
135  SUAO    90686.96     88919.01        0.00
136  SUNM    11717.43     -8369.65        0.00
137  TECS    64326.03    -34068.10        0.00
138  TMLM  -128371.72      1751.47        0.00
139  TSHO   -96479.90    -65594.93        0.00
140  WNTS    40181.04    -41358.33        0.00
141  YMSM   153934.48     59009.82        0.00
142  YUSN   -31917.53     -3173.56        0.00
