# t(yr) dt(yr)
0.0000000000000000e+00 0.0000000000000000e+00
1.0000000000000001e-05 1.0000000000000001e-05
6.0000000000000002e-05 5.0000000000000002e-05
1.3804533778918405e-04 7.8045337789184050e-05
5.2827202673510435e-04 3.9022668894592031e-04
2.4794054714647054e-03 1.9511334447296011e-03
1.2235072695112714e-02 9.7556672236480090e-03
6.1013408813352751e-02 4.8778336118240034e-02
1.3601340881335278e-01 7.5000000000000025e-02
2.1101340881335279e-01 7.5000000000000011e-02
2.8601340881335280e-01 7.5000000000000011e-02
3.6101340881335281e-01 7.5000000000000011e-02
4.3601340881335282e-01 7.5000000000000011e-02
5.1101340881335289e-01 7.5000000000000067e-02
5.8601340881335284e-01 7.4999999999999956e-02
6.6101340881335280e-01 7.4999999999999956e-02
7.3601340881335275e-01 7.4999999999999956e-02
7.5000000000000000e-01 1.3986591186647246e-02
