# nb name north(m)  east(m) down(m)
   1 CAND  13797.1  -5401.3       0
   2 CRBT  -2595.2 -34155.3       0
   3 HOGS   5737.8  -9554.5       0
   4 HUNT   7301.8  -2570.0       0
   5 LAND   9407.7  -8988.3       0
   6 LOWS   1521.2 -19961.1       0
   7 MASW   1952.3  -6257.0       0
   8 MIDA  11862.4  -7677.9       0
   9 MNMC  17139.2  -5431.9       0
  10 RNCH   9430.4 -13654.9       0
  11 TBLP  11362.8   1236.4       0

