0001  0079  134991.2500   15095.0000    0.000020    0.006117   -0.004477    0.000678    0.000801    0.002671
0002  0087  104838.0400  -24827.2800    0.000869    0.007796   -0.000839    0.000683    0.000806    0.002648
0003  0088   77253.1900   88497.3800   -0.002663    0.002761   -0.005126    0.000758    0.000907    0.002974
0004  0089   61283.9100   21507.1200    0.001297    0.012394   -0.003889    0.000670    0.000802    0.002688
0005  0090   18161.4300  107334.9300   -0.003728    0.000958   -0.000366    0.000638    0.000744    0.002493
0006  0091   75954.4800  -82637.9900    0.001459    0.002759    0.000166    0.000639    0.000750    0.002895
0007  0093  -26241.7700   -7125.3800    0.012806   -0.011916   -0.003631    0.001864    0.002298    0.007425
0008  0094  -35580.6600   85821.3200    0.002885   -0.003101    0.006507    0.000799    0.000848    0.003369
0009  0095  -82919.6800   71611.7400    0.002412   -0.002577    0.007163    0.000658    0.000745    0.002616
0010  0096  -85920.6600  -49242.5000    0.000052    0.001199    0.000247    0.000680    0.000796    0.002630
0011  0098 -168783.2600  -37922.0600    0.001646    0.001147    0.003340    0.000680    0.000780    0.002638
0012  0099 -168308.1500   37124.9700    0.001442    0.001751   -0.009515    0.001077    0.001186    0.005040
0013  0413  133600.2800   49542.2200   -0.000400    0.006283   -0.005489    0.000613    0.000736    0.002372
0014  0450   82983.6600  -45504.8700    0.002415    0.006990    0.003006    0.000786    0.000910    0.003111
0015  0451   79361.7900  -20263.8300   -0.000421    0.010358   -0.001090    0.000943    0.001103    0.003655
0016  0452   75951.6700    8296.9600   -0.000006    0.009762   -0.007735    0.000724    0.000830    0.002857
0017  0453   46765.6300  -15815.9800    0.000873    0.013805    0.005312    0.000674    0.000823    0.002781
0018  0454   54042.4800  -43489.6200    0.000572    0.005008    0.005767    0.000641    0.000771    0.002542
0019  0455   34300.8500  -59536.8700    0.002086    0.002210    0.000627    0.000720    0.000842    0.002770
0020  0456  206518.8300 -117465.1300    0.000740    0.002836   -0.000136    0.000580    0.000702    0.002268
