32.3378 -261.869 48.6 4.3
-29.9977 -165.095 160.36 4.6
80.5687 -38.2166 138.13 4.3
381.436 181.674 411.14 4.1
59.4192 -171.867 52.94 4.7
16.294 -214.532 69.33 4.7
-44.8583 -159.883 158.4 4.4
38.9303 -300.714 37.77 4.7
-23.0412 -201.978 121.28 4.3
26.9977 -225.26 66.05 4.4
-44.7818 -184.791 168.32 4.7
-17.4449 -169.653 164.17 4.4
100.039 -121.979 37.55 4.8
59.3277 -160.732 46.53 4.8
31.2349 -305.741 37.87 4.6
48.7353 -296.451 40.79 4.8
40.9593 -294.102 41.61 4.7
45.2121 -303.437 31.58 5
-119.384 -228.775 249.69 4.5
30.9819 -301.2 31.63 4.7
384.386 79.3077 45.38 3.3
391.637 221.388 59.4 4.4
71.5832 -15.3282 67 4.7
374.561 190.059 14 5.8
29.5798 -244.464 43.8 4.6
133.591 -314.142 22.8 4.4
88.0837 -129.553 33.7 4.7
78.7697 -129.219 36.9 5.2
-33.1332 -182.761 162.7 4.7
30.3409 -287.695 35.4 4.8
70.4345 -279.267 10 5.2
32.6163 -274.793 60.3 4.3
128.59 79.5416 54.9 4.6
248.621 80.1215 27.6 4.6
85.2174 -93.2292 34.5 4.8
30.1933 -295.791 24.7 4.5
-47.4324 -174.278 168.6 5.3
152.489 -10.218 37.6 4.7
63.5698 -217.966 51.9 4.3
135.271 113.17 52.8 4.6
50.2562 -179.309 36 4.4
-66.3585 -84.8975 23.4 4.9
-32.9219 -200.163 137.2 5
39.2327 -299.844 33.8 4.7
103.878 -175.655 56.6 4.4
131.499 -70.0291 41.7 4.8
12.7428 -200.398 77.3 4.7
127.573 -265.588 22 4
25.088 -196.086 74.3 4.5
17.1335 -78.5635 15.6 4.7
55.8368 -186.294 43.9 4.6
77.013 -110.732 40.1 4.9
-35.1764 -301.947 56.1 4.7
2.29008 -2.51326 31.2 4.6
88.1301 -104.032 52.1 4.6
75.5038 -140.055 34.9 4.8
101.74 -19.349 62.4 5.1
73.5417 -91.618 49.3 4.4
