73.9273 102.001 123.4 4.3
-18.6552 -2.37164 10 4.2
119.415 -327.98 10 4.2
94.8045 84.6114 78.9 4.9
-13.1258 -11.8497 9.43 4.8
-22.0852 -74.7081 10 4.4
-19.7332 -45.302 10 4.5
44.5994 -303.692 19.42 4.8
45.083 -312.011 45.78 4.7
-178.766 -110.644 1.65 4.8
176.317 -106.663 10 4.4
195.844 -238.339 10 4.4
-136.57 -179.312 15.47 4.8
-28.8899 -151.866 153.96 4.3
103.318 -115.881 31.04 4.8
-148.889 -188.854 10 4.4
-13.4172 -3.01555 10 4.3
-138.021 -187.051 8.16 4.9
-145.517 -198.824 10 4.5
-14.169 -8.54945 8.33 4.5
-122.413 -188.656 10 4.3
-9.25224 -11.2366 9.37 4.3
-144.957 -190.733 10 4.2
-139.588 -185.293 10 4.3
-143.848 -180.735 10 4.7
-138.869 -187.042 15.01 4.8
-125.512 -188.967 10 4.6
-133.366 -169.784 10 5.3
-133.298 -187.816 14.25 4.9
29.8758 24.826 13.65 4.6
23.1122 23.6316 16.83 4.6
-11.4189 -13.7094 10 4.3
-17.7494 -24.87 10 4.3
51.3947 53.151 2.35 4.2
-11.0652 -2.39235 10 4.4
-23.6378 -2.51987 10 4.9
41.5416 -278.722 32.63 4.3
-18.0928 -4.98065 4.3 4.4
30.1094 22.4344 10 4.3
342.313 88.3148 10 4.3
65.0063 53.1479 8.02 4.5
179.198 -226.876 33.31 4.5
-3.48363 2.83839 8.61 4.4
63.495 52.3805 14.16 4.4
-4.45483 -33.0093 6.76 4.1
-17.2011 -16.6893 10 4.8
-10.1489 -25.0682 5.4 5.3
-3.41137 -2.27316 7.03 4.5
33.4842 25.2853 10 4.3
-12.4893 -11.1416 4.51 4.4
34.4342 26.3914 10.46 5.5
59.5528 17.5717 27.67 4.1
-1.42261 7.4298 10 4.6
-13.8749 -9.41008 3.47 4.7
22.0658 20.5948 10 4.3
-4.36749 -14.0995 4.51 4.6
29.8572 26.2567 15.88 4.2
20.2581 17.7216 10 4.7
2.07451 11.0695 10 4.5
-3.63185 -5.49289 9.9 4.5
-16.0269 -2.05615 3.34 4.7
-5.83579 -6.61457 9.12 5.1
-3.8403 -12.4387 10 4.6
37.2049 24.8052 9.24 4.6
-3.92926 -5.65288 5.69 4.8
-22.4358 -27.5423 8.12 4.3
4.64924 6.5541 9.07 5.2
-13.8691 -24.9908 10 4.3
-6.73847 -14.8686 10 4.5
3.26943 7.88409 10 4.6
-7.58759 0.54452 10 4.1
1.72827 -3.11034 10 4.6
59.5001 53.3874 10 5.1
17.0048 18.6603 10 4.5
38.297 10.1394 10.95 4.3
-19.5016 -21.1913 10 4.5
1.51635 -7.89391 4.05 4.7
18.0824 21.1091 13.19 4.6
22.9194 15.963 7.59 4.4
0.57845 0.71926 8.78 4.5
40.4951 33.8918 10 4.6
39.8552 25.4805 13.22 5.5
17.5534 9.05346 10 4.4
26.2347 34.8392 19.81 4.5
12.3713 34.1836 18.99 4.5
23.2528 23.1129 10 4.2
32.0789 15.9503 10 4.3
27.358 15.7476 4.35 5.4
55.6856 48.4415 10 4.5
42.1737 31.3195 6.6 4.2
0.68231 -4.48057 9.24 4.6
4.71131 -2.71693 10 4.1
7.51346 15.8861 10 5.7
-0.48693 -8.09296 10 5.3
7.60578 -9.23386 10 5.2
6.46141 -11.9927 10 4.8
9.10561 -1.56639 10 5.3
100.482 10.7844 10 5.1
2.63484 0.99715 10 7
